鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
竹東鎮,土地,竹東段番社子小段468-2地號,23.0,住,,,1150224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1698090,73830,,0.0,0,政府機關標讓售；,RPSNMLTJLHLGFCJ56EA,0.0,0.0,0.0,無,
新埔鎮,房地(土地+建物),新竹縣新埔鎮文山路亞東段５８７巷８號,44.71,,特定農業區,甲種建築用地,1150211,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0591215,35.89,3,2,2,有,無,2400000,66871,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLQLKHLGFBJ66DA,35.89,0.0,0.0,無,
竹東鎮,房地(土地+建物),新竹縣竹東鎮大明路４０８巷３９號,1362.0,工,,,1150210,土地1建物1車位0,全,一層,透天厝,工業用,鋼骨造,1060801,718.24,5,2,5,有,無,82500000,114864,,0.0,0,,RPWNMLPJLHLGFCJ09DA,718.24,0.0,0.0,無,
竹北市,土地,站後段974-2地號,9.08,都市：其他:農會專用區,,,1150223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1389694,153050,,0.0,0,政府機關標讓售；,RPPNMLLKLHLGFBJ08EA,0.0,0.0,0.0,無,
竹北市,土地,自強段360地號,155.19,住,,,1150208,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,45500000,293189,,0.0,0,,RPPNMLSJKHLGFBJ48DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口一街２３０號六樓,28.42,住,,,1150201,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050429,172.68,2,2,2,有,有,27500000,159254,坡道平面,39.93,0,,RPQOMLQLKHLGFBJ68DA,77.04,4.14,9.04,有,003
關西鎮,土地,大旱坑段大東坑小段211-1地號,238.16,,山坡地保育區,農牧用地,1150225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,213400,896,,0.0,0,,RPQOMLLKLHLGFBJ18DA,0.0,0.0,0.0,無,004
竹北市,房地(土地+建物)+車位,新竹縣竹北市 興隆路一段４５號十五樓,20.09,住,,,1150207,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011012,145.99,2,2,1,有,有,17700000,121241,坡道平面,37.2,0,陽台外推；,RPOOMLMKLHLGFBJ08DA,58.23,6.53,9.32,有,005
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利十一路９８號二樓,10.15,商,,,1150201,土地1建物1車位2,二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050921,148.45,1,2,2,有,有,17300000,151991,坡道平面,49.77,2300000,,RPWNMLNJKHLGFBJ68DA,57.65,2.25,3.33,有,006
竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路一段３９６號,23.04,住,,,1150213,土地1建物1車位1,一層,二十層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1131125,145.38,0,0,2,有,有,27830000,191429,坡道平面,37.01,0,,RPQNMLLKLHLGFBJ08DA,70.64,0.0,10.64,有,007
